,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,h_alpha_eqw,nii_6584_eqw
0,266,51602,201,b'GALAXY',b'',0.1473004,1548.974,424.3076,1680.568,228.5038,-417.1741,-61.57373
1,266,51602,323,b'GALAXY',b'STARBURST',0.08886714,427.0232,100.0125,66.02779,99.72473,-54.0773,-12.98159
2,266,51602,401,b'GALAXY',b'STARBURST',0.05157993,3334.863,953.7944,2399.147,441.7446,-197.8817,-26.18473
3,267,51608,245,b'GALAXY',b'STARFORMING',0.01946783,60.90096,15.58486,21.52299,16.08556,-21.23338,-5.745538
4,268,51633,1,b'GALAXY',b'STARBURST',0.06874236,878.3365,256.4054,610.9689,114.4482,-147.2442,-19.04931
5,268,51633,339,b'GALAXY',b'STARFORMING',0.01258756,133.7393,48.11544,125.7147,7.796614,-27.61075,-2.412756
6,268,51633,412,b'GALAXY',b'STARFORMING',0.06605762,74.05566,22.87721,16.71365,41.5078,-5.471143,-3.028596
7,268,51633,472,b'GALAXY',b'STARFORMING',0.06499501,666.8866,149.9444,32.18747,286.4166,-36.90224,-15.4919
8,268,51633,586,b'GALAXY',b'STARFORMING',0.04001235,139.3271,37.92846,27.98774,39.51387,-16.68458,-4.327237
9,268,51633,587,b'GALAXY',b'STARFORMING',0.04627055,166.8309,39.89712,9.594817,50.62418,-26.61001,-8.49121
10,269,51910,380,b'GALAXY',b'STARBURST',0.1333117,707.756,193.0666,296.3896,111.982,-77.6831,-12.72009
11,270,51909,253,b'GALAXY',b'STARBURST',0.1170835,1276.945,193.6312,101.8531,555.0167,-91.06149,-38.56323
12,270,51909,356,b'GALAXY',b'STARFORMING',0.1763657,359.8556,75.27764,40.10643,194.779,-27.64161,-14.35499
13,270,51909,464,b'GALAXY',b'STARFORMING',0.09017465,228.9653,38.52014,16.26414,98.39067,-19.53261,-8.383538
14,270,51909,563,b'GALAXY',b'STARFORMING',0.1046545,397.513,108.3532,83.77141,101.7384,-45.32031,-10.93762
15,271,51883,213,b'GALAXY',b'STARFORMING',0.04417122,221.2297,66.58456,25.27775,69.42178,-24.32699,-7.59432
16,271,51883,220,b'GALAXY',b'STARBURST',0.1720573,547.5474,78.85338,28.14173,238.3786,-53.39648,-22.90256
17,271,51883,304,b'GALAXY',b'',0.0626008,36.1058,9.897922,20.41326,16.88344,-3.399599,-1.361552
18,271,51883,353,b'GALAXY',b'STARFORMING',0.09473247,263.4732,65.2823,22.17852,78.73569,-32.42502,-9.53277
19,271,51883,543,b'GALAXY',b'STARFORMING',0.09665108,293.0241,75.13208,26.80261,133.6384,-18.31081,-8.266099
20,272,51941,17,b'GALAXY',b'STARFORMING',0.1269418,179.7695,36.45705,16.03714,72.00704,-15.68464,-6.424781
21,272,51941,37,b'GALAXY',b'AGN',0.1831185,160.3141,32.31355,98.70788,160.1631,-11.15851,-9.848481
22,272,51941,551,b'GALAXY',b'STARBURST',0.09801202,222.8126,60.06776,16.01442,78.56626,-29.9374,-10.83897
23,273,51957,170,b'GALAXY',b'STARFORMING',0.05050373,403.6462,79.20525,44.95899,170.132,-11.78543,-4.964257
